word,creole_word,creole_name
base,básu  ,Saramaccan
downriver,básusë,Saramaccan
underwater,básúwáta,Saramaccan
bottle,báta,Saramaccan
flashlight,batiléi,Saramaccan
let,bé,Saramaccan
red,bë  ,Saramaccan
Christmas,bëdáki,Saramaccan
bed,bédi,Saramaccan
stomach,bë́ë  ,Saramaccan
bread,bëë́ë,Saramaccan
eyeglasses,beéi  ,Saramaccan
graveyard,beepé,Saramaccan
petition,bégi  ,Saramaccan
burial,béi,Saramaccan
bend,béndi,Saramaccan
crooked,béndíbéndi,Saramaccan
cliff,benga  ,Saramaccan
“red cent”,bësë́nsi,Saramaccan
bus,bési,Saramaccan
leprosy,bësinkíi,Saramaccan
better,bë́të  ,Saramaccan
bait,béti,Saramaccan
change,biá  ,Saramaccan
antennae (of insect),bía  ,Saramaccan
screw,biápéégu,Saramaccan
whirlpool,biáwáta,Saramaccan
drum,bidón,Saramaccan
because,bigá  ,Saramaccan
beginning,bigí,Saramaccan
big,bígi,Saramaccan
beer,bíi  ,Saramaccan
belief,biíbi,Saramaccan
flood waters,biibíi,Saramaccan
mosquito,biibíí fóo,Saramaccan
letter,biífi,Saramaccan
lichens,bilolí,Saramaccan
naval,bíngo,Saramaccan
decoration,bisí  ,Saramaccan
or polish,bísi  ,Saramaccan
bitter,bíta,Saramaccan
worm,bítju,Saramaccan
bow,bö́,Saramaccan
wood,boánti,Saramaccan
breast,bóbi,Saramaccan
amazing,bö́djëë  ,Saramaccan
tapir,bófo,Saramaccan
abscess,bói  ,Saramaccan
except,bóiti,Saramaccan
box,bö́kúsu  ,Saramaccan
drill,bólu  ,Saramaccan
group,bóndji,Saramaccan
bone,bónu,Saramaccan
breath,böö́  ,Saramaccan
instep,böö́ u fútu,Saramaccan
hurriedly,booboo,Saramaccan
bridge,boóki  ,Saramaccan
be broken,boóko  ,Saramaccan
worry,boókóhédi,Saramaccan
deaf,boókójési,Saramaccan
blind,boókówójo  ,Saramaccan
flour,boón,Saramaccan
kiss,bósi,Saramaccan
message,bosikópu,Saramaccan
brush,bö́sö,Saramaccan
to loosen,bösö  ,Saramaccan
joker,botjítjima,Saramaccan
boat,bóto  ,Saramaccan
blackboard,bö́utu,Saramaccan
gnat,buábua,Saramaccan
skin,búba,Saramaccan
chain,búi,Saramaccan
quarrel,búja,Saramaccan
mouth,búka  ,Saramaccan
lips,búkákásíka,Saramaccan
saliva,búkáwáta,Saramaccan
bucket,bukéti,Saramaccan
book,búku  ,Saramaccan
"move, to",bulí  ,Saramaccan
donkey,bulíki,Saramaccan
good,búmbúu,Saramaccan
fog,bundji  ,Saramaccan
inexpensive,búnkópu,Saramaccan
correct,búnu,Saramaccan
goodheartedness,búnúháti,Saramaccan
cracker,busikútu,Saramaccan
to establish,butá  ,Saramaccan
to delay,buujá,Saramaccan
"hatch, to",buuká  ,Saramaccan
pants,buúku  ,Saramaccan
hate,buusé,Saramaccan
enemy,buuséma,Saramaccan
blood,buúu,Saramaccan
completely,búúú,Saramaccan
stretcher,daági,Saramaccan
rum,daán,Saramaccan
awning,dabilé,Saramaccan
dog,dágu,Saramaccan
day,dáka,Saramaccan
rapids,dán,Saramaccan
lace,dantéi,Saramaccan
doctor,dáta,Saramaccan
to be,dë́  ,Saramaccan
dry,dëë́,Saramaccan
medicine,deési,Saramaccan
thirsty,dëë́wáta  ,Saramaccan
brazen,dëë́wójo,Saramaccan
thick,dégi,Saramaccan
courage,dégíháti,Saramaccan
blanket,déigi,Saramaccan
dagger,dëkpë,Saramaccan
thongs,deláila,Saramaccan
inside,déndu,Saramaccan
energetic,dënkú,Saramaccan
themselves,désééi,Saramaccan
sticky,diaan,Saramaccan
daylight,didía,Saramaccan
devil,didíbi,Saramaccan
three,dií,Saramaccan
expensive,díi  ,Saramaccan
drink,diíngi  ,Saramaccan
to drift (i.e. water),diípi  ,Saramaccan
thirty,diíténi,Saramaccan
to dig,díki  ,Saramaccan
director,dikitóo,Saramaccan
to double-cross,dimbolí  ,Saramaccan
to leave,disá  ,Saramaccan
this,dísi,Saramaccan
yard,djái,Saramaccan
coat,djákíti,Saramaccan
jealous,djalúsu,Saramaccan
gem,djamátí sítónu,Saramaccan
stingray,djampaíni,Saramaccan
peccary,djampö,Saramaccan
tall,djangaa,Saramaccan
deer,djangafútu,Saramaccan
vulture,djankóo,Saramaccan
rope,djeendjé  ,Saramaccan
island,djégi,Saramaccan
gentlemanly,djë́ndë,Saramaccan
container,djógu  ,Saramaccan
jump,djómbo,Saramaccan
toad,djómboma,Saramaccan
hip,djönkú  ,Saramaccan
genuine,dju  ,Saramaccan
Jew,djú bákáa,Saramaccan
daybreak,dóbóóko  ,Saramaccan
Dutch,dóisi,Saramaccan
overbearing,dökíön,Saramaccan
rat,dökufö́utu,Saramaccan
lump,dómbo,Saramaccan
preacher,dómini,Saramaccan
dumb,dón,Saramaccan
door,dö́ö  ,Saramaccan
door post,dö́ö páu  ,Saramaccan
night pot,doodó  ,Saramaccan
moonlight,dö́ö́límbo,Saramaccan
drunk,döö́ngö,Saramaccan
drunkard,döö́ngöma  ,Saramaccan
outside,dö́ö́së,Saramaccan
baptism,dópu,Saramaccan
case for something,dósu,Saramaccan
earth,dóti,Saramaccan
deed,dú,Saramaccan
cloth,dúku,Saramaccan
dark,dúngu,Saramaccan
jail,dunguwósu,Saramaccan
thousand,dúsu,Saramaccan
sleep,duumí  ,Saramaccan
goodbye,duumúndu,Saramaccan
force,duwéngi,Saramaccan
if,ée,Saramaccan
ice,ë́ísi,Saramaccan
eleven,ë́lúfu,Saramaccan
November,ë́lúfúmu,Saramaccan
her,ën,Saramaccan
yet,éti,Saramaccan
"manner of being, living or doing",fá  ,Saramaccan
ebb of water,fáa  ,Saramaccan
menstruation,faádji,Saramaccan
flag,faáka  ,Saramaccan
frayed edges,faándja  ,Saramaccan
French,faánsi,Saramaccan
unconscious,faáu,Saramaccan
electricity,fája  ,Saramaccan
flames,fájátö́ngö,Saramaccan
knife,fáka,Saramaccan
mark or scar where a knife has cut,fáka  ,Saramaccan
relatives,famíi,Saramaccan
talk,fan,Saramaccan
not acceptable,fánáfíti,Saramaccan
careless,fanjanfanjan  ,Saramaccan
chatterbox,fanmá,Saramaccan
necessary,fanö́udu,Saramaccan
manner,fási  ,Saramaccan
reckless,fásífási,Saramaccan
cooking oil,fátu  ,Saramaccan
animosity,feánti,Saramaccan
fever,fë́bë,Saramaccan
jealousy,fédja,Saramaccan
Friday,fééda,Saramaccan
coward,fë́ë́ë́ma,Saramaccan
five,féífi  ,Saramaccan
Tuesday,féifídáka,Saramaccan
fifty,féífíténi,Saramaccan
oil,fékísi,Saramaccan
club,feléniki,Saramaccan
metal,félu  ,Saramaccan
break off,fë́n,Saramaccan
to acquire,féndi  ,Saramaccan
window,fë́nsë,Saramaccan
face,fési  ,Saramaccan
apron,fesikö́ki,Saramaccan
leader,fésima,Saramaccan
forehead,fésímíndi,Saramaccan
a former time,fésiten,Saramaccan
fight,féti,Saramaccan
weapon(s),fétílái,Saramaccan
aggressive person,fétima  ,Saramaccan
to argue,fiá  ,Saramaccan
dissenter,fiáma,Saramaccan
liberty,fií  ,Saramaccan
to feel,fíi  ,Saramaccan
free,fiífii,Saramaccan
kite,filígi,Saramaccan
airstrip,filígífëlíti,Saramaccan
finger,fínga,Saramaccan
to give a sharp pain,fingá  ,Saramaccan
carefully,fíni  ,Saramaccan
fine (not rough),fínu,Saramaccan
"becoming, be",fíti,Saramaccan
crowded (e.g. path),fitjá  ,Saramaccan
to trust in,fitoóu,Saramaccan
four,fö́,Saramaccan
Monday,fö́dáka,Saramaccan
whistle,fofío,Saramaccan
square,fö́kánti,Saramaccan
flower,foló,Saramaccan
flute,foloíti,Saramaccan
fork,fö́lúku  ,Saramaccan
agitate,fón  ,Saramaccan
photograph,fóótóo,Saramaccan
first,fósu,Saramaccan
formerly,fósufósu,Saramaccan
forty,fö́téni,Saramaccan
Paramaribo,fóto,Saramaccan
bird,fóu,Saramaccan
mistake,fö́útu,Saramaccan
thief,fufúuma,Saramaccan
birthday,fujái,Saramaccan
distress,fuká,Saramaccan
lungs,fuköfukö,Saramaccan
sawdust,fukufuku,Saramaccan
to pierce,fulá  ,Saramaccan
soft,fulufulu,Saramaccan
bottomless place in water,fundá  ,Saramaccan
deep,fúndu,Saramaccan
disappear,fusí,Saramaccan
to understand,fusután,Saramaccan
detail,fútu  ,Saramaccan
lap,fútúlíba,Saramaccan
full,fúu,Saramaccan
"bore, to",fuuféi,Saramaccan
curse,fuúku  ,Saramaccan
contraction: for you (pl.),fuúnu  ,Saramaccan
fruit,fuúta,Saramaccan
quick,gaagaa,Saramaccan
bromfiets,gaamákö́nú wági,Saramaccan
great,gaán  ,Saramaccan
tarantula,gaán adjáansi,Saramaccan
impertinence,gaán búka,Saramaccan
pride,gaán fási,Saramaccan
thumb,gaán fínga,Saramaccan
bedspread,gaán kóósu,Saramaccan
ancestor,gaán sëmbë  ,Saramaccan
snobbishness,gaán wómí fási,Saramaccan
God,Gaángádu,Saramaccan
thunder,gaángádú bái,Saramaccan
lighting,gaángádú kóti fája,Saramaccan
creek,Gaángoón,Saramaccan
March,gaánlíba,Saramaccan
Thursday,gaánsaba,Saramaccan
please,gaántangi,Saramaccan
energy,gaapí,Saramaccan
glass,gaási  ,Saramaccan
hawk,gabián,Saramaccan
bare,gaboo,Saramaccan
spirit,gádu,Saramaccan
pineapple,gádúbói,Saramaccan
birthmark,gádúmááka,Saramaccan
altar,gádútáfa,Saramaccan
godhouse,gádúwósu  ,Saramaccan
to compliment,gafá,Saramaccan
mosquito net,gaidé,Saramaccan
aluminum,galimö́,Saramaccan
the area where people live,gandá  ,Saramaccan
crocodile,gandí,Saramaccan
sour,gándji  ,Saramaccan
piranha,gándjífísi,Saramaccan
neck,gangáa,Saramaccan
phlegm,gangáá wáta,Saramaccan
chicken,ganían,Saramaccan
to comfort,ganján  ,Saramaccan
deceiver,ganjánma,Saramaccan
cooking pot,gansë́  ,Saramaccan
fast,gáu,Saramaccan
"meat, fish",gbamba  ,Saramaccan
enamel,gbangbán,Saramaccan
eagle,gbaniní,Saramaccan
turtle,gbegú,Saramaccan
absolutely,gbélín  ,Saramaccan
scum,gbënëgbë́në,Saramaccan
dwarfed,gbi  ,Saramaccan
hazy,gbitii,Saramaccan
burial place,geébi,Saramaccan
gills,geéja  ,Saramaccan
bell,gengé,Saramaccan
stingy,giíi,Saramaccan
to grunt,giintá,Saramaccan
rub,gili  ,Saramaccan
guitar,gitáli,Saramaccan
away,gó  ,Saramaccan
back of something,gogó  ,Saramaccan
trellis,gölë́ti,Saramaccan
cake,góma  ,Saramaccan
gun,góni,Saramaccan
to grow or expand,göö́  ,Saramaccan
domineering,goófu,Saramaccan
Adam’s apple,göögö́ö  ,Saramaccan
field for planting,goón  ,Saramaccan
millipede,göö́ngö́ö,Saramaccan
world,goónlíba,Saramaccan
foundation,goónséi,Saramaccan
gold,góútu,Saramaccan
brush or overgrowth of weeds,gudjugudju  ,Saramaccan
rich,gúdu,Saramaccan
dust,gudugúdu,Saramaccan
chigger,gudugúdú bítju,Saramaccan
vegetables,gulúntu,Saramaccan
to complain,guunján  ,Saramaccan
to be acquainted with someone,guwénti  ,Saramaccan
exactly right,háánse,Saramaccan
half,háfu,Saramaccan
pellets,hága,Saramaccan
hog,hágu,Saramaccan
haul,hái  ,Saramaccan
binoculars,háiko,Saramaccan
hammer,háma,Saramaccan
clothes hanger,hánga  ,Saramaccan
hunger,hángi  ,Saramaccan
anchor,hánka,Saramaccan
hatchet,hánmbei,Saramaccan
attractive,hánse,Saramaccan
ant,hánsi,Saramaccan
wing,hánza,Saramaccan
boat-billed heron,hápapa,Saramaccan
horse,hási,Saramaccan
heart,háti  ,Saramaccan
anger,hátíbóónu,Saramaccan
chest,hátímíndi,Saramaccan
covetousness,haún  ,Saramaccan
heavy,hébi  ,Saramaccan
head,hédi  ,Saramaccan
skull,hédíbónu,Saramaccan
hair,hédíúwíi,Saramaccan
help,heépi,Saramaccan
high,héi  ,Saramaccan
woe,helú,Saramaccan
shirt,hë́mpi,Saramaccan
conjunction used at beginning of clause to indicate another step in the narrative,hën  ,Saramaccan
to hang,hë́ngi  ,Saramaccan
cacique,hë́no,Saramaccan
quickly,hésíhésí,Saramaccan
much,hía,Saramaccan
everyone,híbiwán,Saramaccan
all,híi  ,Saramaccan
all the time,híniwánten,Saramaccan
"pile, a",hípi  ,Saramaccan
to throw,híti  ,Saramaccan
bad,hógi  ,Saramaccan
evilhearted,hógiháti,Saramaccan
to yawn,hóha,Saramaccan
to hold,hói,Saramaccan
expression of disdain,hön  ,Saramaccan
hunt,hö́ndi,Saramaccan
hunter,hö́ndima,Saramaccan
June,hö́ndima líba,Saramaccan
hundred,hö́ndö,Saramaccan
bee,hö́ni,Saramaccan
honey,hö́níwáta,Saramaccan
get up,hópo  ,Saramaccan
corner,húku  ,Saramaccan
to examine,hulu  ,Saramaccan
an expression of disdain,hun  ,Saramaccan
gizzard,húngö,Saramaccan
fingernail,húnjan  ,Saramaccan
Amerindian,íngi,Saramaccan
every,íniwán,Saramaccan
"sling, to",jaa,Saramaccan
year,jáa,Saramaccan
to open,jabí  ,Saramaccan
el (measurement),jái  ,Saramaccan
January,jáílíba,Saramaccan
loose living,jajó  ,Saramaccan
corn tassels,jakajaka  ,Saramaccan
Javanese,jampanë́si,Saramaccan
dress,japó,Saramaccan
to fry,jasá  ,Saramaccan
rash,jási  ,Saramaccan
expression of dismay,jeé  ,Saramaccan
shadow,jejé  ,Saramaccan
ears,jési,Saramaccan
yesterday,jéside,Saramaccan
"cross, to",jö́kö,Saramaccan
borrow,júu  ,Saramaccan
rather,ká  ,Saramaccan
already,kaa,Saramaccan
calabash,kaabási,Saramaccan
goat,kaabíta,Saramaccan
tap someone (for attention),kaábu  ,Saramaccan
pliers,kaábútánda,Saramaccan
complaint,kaági,Saramaccan
bothersome,kaakéi,Saramaccan
power,kaakíti,Saramaccan
clamp,kaámpi,Saramaccan
tick,kaapátu,Saramaccan
hat,kaapúsa,Saramaccan
to itch,kaási,Saramaccan
end,kabá  ,Saramaccan
captain,kabiténi,Saramaccan
cashew,kadjú,Saramaccan
"rapids, river",Kadjú  ,Saramaccan
gift,kadó,Saramaccan
drop,kaí  ,Saramaccan
to call out,kái  ,Saramaccan
card,káita  ,Saramaccan
excrement,kaká  ,Saramaccan
cacao,kakáo,Saramaccan
has curved back,káki  ,Saramaccan
peeling (e.g. orange),kákísa  ,Saramaccan
plastic,kalë́ti,Saramaccan
corn,kálu,Saramaccan
lizard,kaluwá,Saramaccan
giant armadillo,kámba  ,Saramaccan
reed,kambalúwa  ,Saramaccan
co-wife,kambósa,Saramaccan
atmosphere,kamían  ,Saramaccan
loincloth,kamísa,Saramaccan
boy,kamísama  ,Saramaccan
snobbish,kampiísi,Saramaccan
camp,kámpu,Saramaccan
can,kán,Saramaccan
candle,kánda,Saramaccan
song,kandá  ,Saramaccan
maybe,kandë́,Saramaccan
to lean to one side,kándi  ,Saramaccan
amulet used to ward off thieves,kándúu  ,Saramaccan
preservative,kánfu  ,Saramaccan
filthy (head or body),kantii  ,Saramaccan
office,kantóo,Saramaccan
cannon,kanú,Saramaccan
uneven,kanúkanú,Saramaccan
armadillo,kapasí,Saramaccan
woods,kapë́ë,Saramaccan
capybara,kapiiwá,Saramaccan
rough,kasa,Saramaccan
cheese,kási  ,Saramaccan
sore,kasikaási,Saramaccan
cramp,katangá,Saramaccan
a cold,katáu  ,Saramaccan
slavery,katíbo,Saramaccan
fidget,katjakatja,Saramaccan
bullet,katóisi,Saramaccan
cow,káu,Saramaccan
desire,kë́  ,Saramaccan
to cry,këë́,Saramaccan
funnel,këë́kíti,Saramaccan
chalk,keéti  ,Saramaccan
pencil,këijö́n,Saramaccan
church,kéíki  ,Saramaccan
heat up,këndë́  ,Saramaccan
hot,kéndi  ,Saramaccan
coffin,kési,Saramaccan
kettle,kë́të,Saramaccan
chains,kë́ti,Saramaccan
bring up,kiijá  ,Saramaccan
youth,kijóo,Saramaccan
kilogram,kiló,Saramaccan
kilometre,kilométi,Saramaccan
knee,kiní,Saramaccan
kneecap,kinítampa,Saramaccan
film,kínö,Saramaccan
catch,kísi  ,Saramaccan
to become,kó  ,Saramaccan
continually,kódó,Saramaccan
coffee,kofí,Saramaccan
trunk,kófu,Saramaccan
coconut,kökönö́tö,Saramaccan
husk (e.g. of coconut),kókóo  ,Saramaccan
cane,kokotí,Saramaccan
snail,kóla,Saramaccan
briefly,kö́lö́,Saramaccan
guilder,kö́lu,Saramaccan
cork,kö́lúku,Saramaccan
compass,kompási,Saramaccan
flying ant,kómpe  ,Saramaccan
athlete's foot,komsáka,Saramaccan
beads,kónda,Saramaccan
to count,kondá  ,Saramaccan
country,kö́ndë,Saramaccan
pole,kö́ndö,Saramaccan
clever,kö́ni  ,Saramaccan
to betray,kö́nku  ,Saramaccan
button,kö́nö́pu,Saramaccan
legend or folk tale,kóntu  ,Saramaccan
favored person,kö́nu  ,Saramaccan
throne,kö́núbángi,Saramaccan
charcoal,koofája,Saramaccan
slippery,koogá,Saramaccan
yellow,kóóko  ,Saramaccan
Curaçao,koosóo  ,Saramaccan
clothes,koósu  ,Saramaccan
girl,koósuma,Saramaccan
chaff,koówa,Saramaccan
termites,kopíkopi,Saramaccan
brass,kö́pö,Saramaccan
red cent,köpösë́nsi,Saramaccan
to scold,kósi,Saramaccan
cut,kóti  ,Saramaccan
skirt,kóto,Saramaccan
cold,kö́tö  ,Saramaccan
comfort,kö́tö́háti  ,Saramaccan
testimony,kotóígi,Saramaccan
husk,kotokú,Saramaccan
socks,köúsu,Saramaccan
mumps,kpábu,Saramaccan
coins,kpë́ngë́lë́ mö́ni,Saramaccan
and,ku,Saramaccan
vagina,kú,Saramaccan
raw,kúákúa  ,Saramaccan
toucan,kujaké,Saramaccan
spoon,kujë́ë,Saramaccan
candy,kúku,Saramaccan
long pole for pushing boat through rapids,kulá  ,Saramaccan
to leak,kulé  ,Saramaccan
(in telling a story),kuma  ,Saramaccan
pillow,kúnsu,Saramaccan
sad,kusumí,Saramaccan
council,kuútu,Saramaccan
quarter,kwálíki,Saramaccan
kingfisher,kwátákwata,Saramaccan
square off (wood),kwéi  ,Saramaccan
frown,kwíndji  ,Saramaccan
base of the spine,lábu  ,Saramaccan
ladder,láda  ,Saramaccan
laugh,láfu,Saramaccan
inferior,lági,Saramaccan
advice,lái  ,Saramaccan
string,lala,Saramaccan
real,lálálálá,Saramaccan
whale,laláo,Saramaccan
grater,lálu  ,Saramaccan
pier,lampéési,Saramaccan
lame,lán  ,Saramaccan
long (house but not path),lánga  ,Saramaccan
greed,lángábë́ë,Saramaccan
eel,lángáfísi,Saramaccan
along,lángálánga  ,Saramaccan
depend,lángi,Saramaccan
government,lánti  ,Saramaccan
spear,lánza,Saramaccan
material for cross-stitching,lápu  ,Saramaccan
lose,lási  ,Saramaccan
depression,lásiháti,Saramaccan
to split,latjá  ,Saramaccan
fright,latjahati,Saramaccan
crazy,laú,Saramaccan
to be wilted,láu  ,Saramaccan
not sensible,laúlau,Saramaccan
liver,lë́bën,Saramaccan
gossip,lëgëdë  ,Saramaccan
drive,lë́i,Saramaccan
teach,léi  ,Saramaccan
to estimate,léíki  ,Saramaccan
educated,léíléi,Saramaccan
trip,lë́isi,Saramaccan
than,léki,Saramaccan
listless,lë́kíti,Saramaccan
mixing stick,leletí,Saramaccan
to lick,lëmbë́  ,Saramaccan
to borrow,léni  ,Saramaccan
edge,lénti,Saramaccan
to be protected against black magic,lépi  ,Saramaccan
seat on boat,lési  ,Saramaccan
respect,lesipéki,Saramaccan
precisely,léti  ,Saramaccan
right-hand,létímáun,Saramaccan
lion,lë́un,Saramaccan
month,líba  ,Saramaccan
moustache,líbábúká bía,Saramaccan
upriver,líbasë,Saramaccan
moon,líbáwójo,Saramaccan
life,líbi  ,Saramaccan
living,líbílíbi,Saramaccan
lifetime,líbiten,Saramaccan
file,líma  ,Saramaccan
to clean,limbá  ,Saramaccan
clean,limbo  ,Saramaccan
earring,línga  ,Saramaccan
smooth,línzo,Saramaccan
river,lío,Saramaccan
clan,lö́,Saramaccan
to like or love,lóbi  ,Saramaccan
lover,lóbima,Saramaccan
round,logologo  ,Saramaccan
plump,logoo,Saramaccan
roll up,lólu  ,Saramaccan
to go around something,lómbóto  ,Saramaccan
distant,lóngi,Saramaccan
caterpillar,lonká  ,Saramaccan
to go around,lóntu  ,Saramaccan
perfume,lösíön,Saramaccan
lice,lósu,Saramaccan
to desire,lö́sútu  ,Saramaccan
plumbline,lö́tö  ,Saramaccan
care for,lúku  ,Saramaccan
medicine man,lúkuma,Saramaccan
fall apart,lulú  ,Saramaccan
to solve (problem),lúsu  ,Saramaccan
root,lútu,Saramaccan
but,ma,Saramaccan
to sharpen (knife),maá  ,Saramaccan
mark,maaká  ,Saramaccan
screen,maaní  ,Saramaccan
sugar cane syrup,maási,Saramaccan
mulatto,maáta,Saramaccan
cotton,maáun,Saramaccan
daughter-in-law,mái,Saramaccan
second growth weeds and bushes,majaja  ,Saramaccan
palm tree,maká  ,Saramaccan
yam,maká njámísi,Saramaccan
together,makándi,Saramaccan
to lack,makéi  ,Saramaccan
helpless,makisá  ,Saramaccan
might,mákíti,Saramaccan
lazy,malë́ngë,Saramaccan
lazy person,malë́ngëma,Saramaccan
most essential part:,mamá  ,Saramaccan
molar,mamágógótánda,Saramaccan
morning,mámate,Saramaccan
papaya,mamáun,Saramaccan
blemish on skin,mamuná,Saramaccan
basket,mánda,Saramaccan
to command,mandá  ,Saramaccan
stain,mandjá,Saramaccan
ripe,mandúu  ,Saramaccan
courtesy,maníni,Saramaccan
term of address between men,mánu  ,Saramaccan
master,mása  ,Saramaccan
measles,mási,Saramaccan
overgrowth,masiá  ,Saramaccan
machine,masíni  ,Saramaccan
mattress,mataási,Saramaccan
reed press,matapí  ,Saramaccan
to take offense.,máti  ,Saramaccan
axe,matjáu,Saramaccan
jungle,mátu,Saramaccan
arm,máun  ,Saramaccan
nun,mazó,Saramaccan
to make,mbéi  ,Saramaccan
animal,mbéti  ,Saramaccan
mill,mbíi  ,Saramaccan
hornet(s),mbutíkáa,Saramaccan
milk,më́íki,Saramaccan
to remember,më́mbë  ,Saramaccan
suppose,më́ni  ,Saramaccan
teacher,më́sítë,Saramaccan
meter,më́ti,Saramaccan
I,mi,Saramaccan
child,míi  ,Saramaccan
baby,miíi  ,Saramaccan
urine,miindjá,Saramaccan
million,milión,Saramaccan
to be reconciled,mindí  ,Saramaccan
middle,míndi  ,Saramaccan
minute,miníti,Saramaccan
myself,míséei,Saramaccan
to miss,mísi  ,Saramaccan
to bring together,míti  ,Saramaccan
destitute,möfína,Saramaccan
pretty girl (slang),mömbë́  ,Saramaccan
money,mö́ni,Saramaccan
false eye,mönímö  ,Saramaccan
anymore,mö́ön  ,Saramaccan
ever,mö́önsö,Saramaccan
mouse,mösimö́si,Saramaccan
prostitute,mötjö́,Saramaccan
watch,mö́tu,Saramaccan
woman,mujë́ë,Saramaccan
everybody,múndu  ,Saramaccan
moisten,munján,Saramaccan
should,musu,Saramaccan
child’s cap,músu  ,Saramaccan
backpack,mutete,Saramaccan
rainbow,mutjáma,Saramaccan
micah,mutjáma kaká,Saramaccan
